City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,toro,4.6117,-76.0814,31.38,52,56,0.57,CO,1690136555
84,albany,42.6001,-73.9662,29.74,50,5,0.89,US,1690136555
85,petauke,-14.2426,31.3253,18.17,49,7,2.08,ZM,1690136556
86,geraldton,-28.7667,114.6,8.23,61,0,2.06,AU,1690136305
87,villa gesell,-37.2639,-56.973,12.81,69,33,5.58,AR,1690136556
88,labrador city,52.9463,-66.9114,19.95,77,75,2.57,CA,1690136556
89,ust'-ilimsk,58.0006,102.6619,17.75,73,78,1.32,RU,1690136461
90,gebeit,21.0667,36.3167,34.49,13,59,2.38,SD,1690136557
91,minas de marcona,-15.2119,-75.1103,17.87,61,42,4.73,PE,1690136557
92,astara,38.5,48.6667,24.99,58,32,0.19,AZ,1690136557
93,fabens,31.5023,-106.1586,34.04,28,85,1.21,US,1690136557
94,udachny,66.4167,112.4,20.25,59,83,1.24,RU,1690136557
95,hailin,44.5833,129.4167,20.08,91,12,6.2,CN,1690136557
96,nova sintra,14.8667,-24.7167,23.06,77,39,5.2,CV,1690136558
97,quellon,-43.1167,-73.6167,8.14,76,75,2.57,CL,1690136558
98,vieste,41.8825,16.175,28.51,73,0,1.75,IT,1690136558
99,wladyslawowo,54.7909,18.4009,17.53,90,100,2.35,PL,1690136456
100,fort bragg,35.139,-79.006,33.28,53,40,2.57,US,1690136558
101,leava,-14.3,-178.1667,26.48,72,38,7.04,WF,1690136558
102,the pas,53.8251,-101.2541,20.01,45,0,3.6,CA,1690136559
103,lebu,-37.6167,-73.65,10.34,79,100,3.62,CL,1690136559
104,talnakh,69.4865,88.3972,11.23,86,42,1.01,RU,1690136559
105,ulaangom,49.9811,92.0667,17.36,47,3,1.37,MN,1690136559
106,sept-iles,50.2001,-66.3821,21.7,88,75,2.57,CA,1690136559
107,puerto ayora,-0.7393,-90.3518,29.98,70,64,5.26,EC,1690136434
108,fortaleza,-3.7227,-38.5247,30.07,58,20,5.66,BR,1690136528
109,baker city,44.7749,-117.8344,28.66,28,0,2.57,US,1690136560
110,port saint john's,-31.6229,29.5448,17.43,79,97,5.16,ZA,1690136560
111,save,8.0425,2.486,24.07,93,58,2.99,BJ,1690136560
112,kavaratti,10.5669,72.642,28.2,83,100,8.68,IN,1690136560
113,ocos,14.5094,-92.1933,34.1,65,86,2.37,GT,1690136561
114,constantia,44.1833,28.65,21.5,63,53,3.48,RO,1690136561
115,jieyang,23.5289,116.3642,26.96,90,91,0.14,CN,1690136561
116,opuwo,-18.0607,13.84,22.09,24,31,1.31,NA,1690136561
117,holualoa,19.6228,-155.9522,27.7,77,0,3.09,US,1690136561
118,margaret river,-33.95,115.0667,9.76,78,0,3.74,AU,1690136523
119,remire-montjoly,4.9167,-52.2667,32.02,70,40,4.63,GF,1690136562
120,meiganga,6.5167,14.3,19.99,92,91,0.75,CM,1690136562
121,liberal,37.0431,-100.921,31.58,33,0,4.79,US,1690136562
122,ratnagiri,16.9833,73.3,25.92,91,100,8.63,IN,1690136562
123,zaterechnyy,44.7931,45.2097,28.39,53,71,3.16,RU,1690136562
124,tazacorte,28.629,-17.9293,25.64,63,20,7.72,ES,1690136563
125,lerwick,60.1545,-1.1494,14.0,74,70,7.47,GB,1690136563
126,lusambo,-4.9667,23.45,26.84,30,8,0.87,CD,1690136563
127,port macquarie,-31.4333,152.9167,9.38,81,76,4.12,AU,1690136563
128,port mathurin,-19.6833,63.4167,22.93,75,24,9.31,MU,1690136563
129,okha,53.5739,142.9478,13.44,87,26,4.77,RU,1690136563
130,balqash,46.8481,74.995,24.93,32,13,1.54,KZ,1690136564
131,nhamunda,-2.1861,-56.7131,37.36,26,15,2.05,BR,1690136564
132,axim,4.8699,-2.2405,25.22,84,87,2.84,GH,1690136564
133,ushuaia,-54.8,-68.3,1.81,80,75,8.75,AR,1690136564
134,chonchi,-42.6128,-73.8092,8.4,71,86,1.43,CL,1690136564
135,vila franca do campo,37.7167,-25.4333,24.23,76,44,3.81,PT,1690136564
136,owando,-0.4819,15.8999,26.45,69,92,1.63,CG,1690136565
137,badger,64.8,-147.5333,25.21,59,0,0.0,US,1690136565
138,aubenas,44.6201,4.3899,29.69,52,6,4.57,FR,1690136565
139,vilyuchinsk,52.9306,158.4028,16.15,90,44,4.96,RU,1690136565
140,sumbal,34.2333,74.6333,20.95,71,50,0.89,IN,1690136565
141,kastsyukovichy,53.3516,32.0506,14.46,78,81,2.23,BY,1690136566
142,mili,6.0815,171.735,28.24,79,89,8.36,MH,1690136566
143,winsted,41.9212,-73.0601,29.46,47,0,1.34,US,1690136566
144,college,64.8569,-147.8028,25.26,60,40,0.0,US,1690136566
145,senirkent,38.1044,30.5486,29.03,33,9,2.98,TR,1690136566
146,susuman,62.7833,148.1667,7.72,93,67,1.08,RU,1690136567
147,thompson,55.7435,-97.8558,19.09,52,40,4.12,CA,1690136567
148,thunder bay,48.4001,-89.3168,21.95,64,100,4.12,CA,1690136493
149,dahlonega,34.5326,-83.9849,30.74,62,66,2.39,US,1690136567
150,zhangatas,43.5667,69.75,28.85,21,0,3.6,KZ,1690136567
151,bubaque,11.2833,-15.8333,27.21,81,82,6.94,GW,1690136567
152,pauini,-7.7136,-66.9764,36.17,29,0,0.92,BR,1690136568
153,al harithah,30.7186,47.7208,35.98,9,0,5.14,IQ,1690136511
154,cabo san lucas,22.8909,-109.9124,32.88,74,20,5.66,MX,1690136568
155,nogliki,51.8333,143.1667,16.21,93,98,4.73,RU,1690136568
156,valle de la pascua,9.2155,-66.0073,29.19,67,92,1.96,VE,1690136568
157,utrik,11.2278,169.8474,27.95,75,63,6.93,MH,1690136568
158,guatrache,-37.6678,-63.5302,9.98,32,70,2.83,AR,1690136569
159,bamboo flat,11.7,92.7167,27.31,80,100,5.07,IN,1690136569
160,ribeira grande,38.5167,-28.7,26.22,65,40,6.69,PT,1690136569
161,severo-yeniseyskiy,60.3725,93.0408,14.69,94,61,0.95,RU,1690136569
162,hammerfest,70.6634,23.6821,14.25,62,0,5.14,NO,1690136570
163,villa union,23.2,-106.2333,33.28,66,75,0.0,MX,1690136570
164,hauterive,46.0901,3.4459,30.42,39,87,3.07,FR,1690136570
165,asau,46.4333,26.4,20.71,71,66,1.43,RO,1690136570
166,tarawa,1.419,172.984,27.05,89,40,2.06,KI,1690136570
167,bayanaul,50.7889,75.6956,19.71,55,39,2.68,KZ,1690136570
168,al wajh,26.2455,36.4525,29.97,89,42,1.54,SA,1690136508
169,shalqar,47.8333,59.6,30.04,25,0,5.58,KZ,1690136571
170,nishinoomote,30.7333,131.0,26.89,86,6,4.31,JP,1690136571
171,natal,-5.795,-35.2094,28.36,61,75,5.66,BR,1690135883
172,taro,-8.3862,115.28,21.03,93,89,0.98,ID,1690136571
173,codrington,-38.2667,141.9667,11.13,82,98,2.46,AU,1690136572
174,ulanhot,46.0833,122.0833,17.43,89,100,3.18,CN,1690136572
175,bandon,51.7469,-8.7425,16.77,92,93,6.62,IE,1690136572
176,strabane,54.8237,-7.4692,17.97,71,48,4.57,GB,1690136572
177,nemuro,43.3236,145.575,15.64,98,100,5.72,JP,1690136572
178,mount isa,-20.7333,139.5,9.87,50,0,5.14,AU,1690136573
179,st. john's,47.5649,-52.7093,27.66,74,75,6.17,CA,1690136573
180,bridgewater,44.3835,-64.5155,27.84,83,92,3.09,CA,1690136573
181,ust-nera,64.5667,143.2,11.92,83,49,2.7,RU,1690136573
182,isafjordur,66.0755,-23.124,10.02,93,100,0.0,IS,1690136573
183,pinarbasi,38.7229,36.3931,19.26,58,0,4.5,TR,1690136574
184,spring creek,40.7266,-115.5859,32.94,13,98,6.61,US,1690136574
185,olinda,-8.0089,-34.8553,26.85,69,40,7.72,BR,1690136574
186,port elizabeth,-33.918,25.5701,13.16,76,0,6.69,ZA,1690136574
187,heunghae,36.1125,129.3522,23.61,96,90,2.71,KR,1690136529
188,plastun,44.7561,136.2939,19.12,100,100,0.12,RU,1690136574
189,bredasdorp,-34.5322,20.0403,8.66,87,50,3.02,ZA,1690136575
190,tibu,8.639,-72.7358,37.0,34,99,1.91,CO,1690136575
191,iskateley,67.6803,53.1512,16.45,87,99,2.71,RU,1690136575
192,leh,34.1667,77.5833,17.82,53,43,1.71,IN,1690136575
193,praia da vitoria,38.7333,-27.0667,24.14,83,75,5.72,PT,1690136391
194,hadibu,12.65,54.0333,25.28,80,100,9.31,YE,1690136575
195,gafsa,34.425,8.7842,42.12,8,0,1.03,TN,1690136497
196,zhanaozen,43.3,52.8,34.12,22,34,3.91,KZ,1690136576
197,ust'-barguzin,53.45,108.9833,17.27,59,73,2.75,RU,1690136576
198,wailua homesteads,22.0669,-159.378,25.44,91,100,6.69,US,1690136509
199,hawaiian paradise park,19.5933,-154.9731,23.91,99,100,3.09,US,1690136577
200,cogealac,44.55,28.5667,21.14,58,52,1.36,RO,1690136577
201,nuevo ideal,24.8875,-105.0728,26.53,35,53,5.99,MX,1690136577
202,dunedin,-45.8742,170.5036,9.33,95,100,0.89,NZ,1690136577
203,melito di porto salvo,37.9222,15.7714,35.31,35,13,2.57,IT,1690136577
204,sao joao da barra,-21.6403,-41.0511,23.05,76,60,6.6,BR,1690136577
205,toliara,-23.35,43.6667,19.88,85,0,2.6,MG,1690136578
206,katsuura,35.1333,140.3,23.53,83,41,1.62,JP,1690136578
207,saguenay,48.4168,-71.0657,25.46,64,75,2.57,CA,1690136578
208,jamestown,42.097,-79.2353,26.96,49,75,2.57,US,1690136578
209,kone,-21.0595,164.8658,14.89,72,4,1.65,NC,1690136578
210,great falls,47.5002,-111.3008,33.66,14,0,5.66,US,1690136554
211,hithadhoo,-0.6,73.0833,28.39,76,36,4.8,MV,1690136579
212,baiti,13.745,-14.7482,31.63,58,100,3.01,SN,1690136579
213,nar'yan-mar,67.6713,53.087,16.48,87,99,2.56,RU,1690136579
214,jingdezhen,29.2947,117.2079,24.27,97,68,1.19,CN,1690136579
215,narrabri,-30.3167,149.7833,8.07,83,5,0.89,AU,1690136579
216,laascaanood,8.4774,47.3597,27.94,45,98,12.4,SO,1690136580
217,celestun,20.8667,-90.4,33.14,50,74,1.26,MX,1690136580
218,punta del este,-34.9667,-54.95,15.06,72,0,5.36,UY,1690136580
219,yanam,16.7333,82.2167,26.45,84,100,3.73,IN,1690136580
220,kuala terengganu,5.3302,103.1408,26.97,94,20,0.51,MY,1690136317
221,kulhudhuffushi,6.6221,73.07,27.94,82,58,5.62,MV,1690136581
222,san antonio de pale,-1.4014,5.6325,22.85,80,46,3.96,GQ,1690136581
223,khovd,48.0056,91.6419,19.28,29,5,1.25,MN,1690136581
224,eagle point,42.4726,-122.8028,28.64,43,0,1.79,US,1690136581
225,saint ann's bay,18.4358,-77.201,31.05,74,20,6.81,JM,1690136581
226,afaahiti,-17.75,-149.2833,22.93,73,98,5.09,PF,1690136582
227,tchollire,8.4022,14.1698,23.28,86,100,1.07,CM,1690136513
228,dudinka,69.4058,86.1778,11.46,81,45,3.85,RU,1690136525
229,morehead city,34.7229,-76.726,32.03,74,75,4.47,US,1690136582
230,saint-philippe,-21.3585,55.7679,20.77,86,67,6.4,RE,1690136409
231,faya-largeau,17.9257,19.1043,37.74,11,70,3.86,TD,1690136582
232,east london,-33.0153,27.9116,13.52,82,0,5.14,ZA,1690136482
233,bella union,-30.2752,-57.6007,20.68,53,75,7.15,UY,1690136583
234,mount gambier,-37.8333,140.7667,10.46,84,89,1.46,AU,1690136555
235,meulaboh,4.1363,96.1285,24.79,86,86,1.45,ID,1690136583
